Unnamed: 0.1,Unnamed: 0,roi,geometry,landsat_total,landsat_success,landsat_failed,modis_total,modis_success,modis_failed,imagery_downloaded
23,23,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/C3,"{'type': 'Polygon', 'coordinates': [[[-109.42892647918637, 38.87283513063638], [-109.39596651720268, 38.84907524515759], [-109.36545314673847, 38.874739798126406], [-109.39841307480364, 38.89849115237697], [-109.42892647918637, 38.87283513063638]]]}",529.0,529.0,0.0,1949.0,1949.0,0.0,2023-08-13 21:05:48.446809
24,24,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/C4,"{'type': 'Polygon', 'coordinates': [[[-109.39596651720268, 38.84907524515759], [-109.36300666242322, 38.82530738493288], [-109.33249317493319, 38.850980576415786], [-109.36545314673847, 38.874739798126406], [-109.39596651720268, 38.84907524515759]]]}",493.0,493.0,0.0,1918.0,1918.0,0.0,2023-08-13 23:46:07.422808
25,25,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/C5,"{'type': 'Polygon', 'coordinates': [[[-109.36300666242322, 38.82530738493288], [-109.33004667558822, 38.80153162385441], [-109.29953328320529, 38.82721334514843], [-109.33249317493319, 38.850980576415786], [-109.36300666242322, 38.82530738493288]]]}",470.0,470.0,0.0,1898.0,1898.0,0.0,2023-08-14 02:59:14.602540
26,26,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/C6,"{'type': 'Polygon', 'coordinates': [[[-109.33004667558822, 38.80153162385441], [-109.29708677128667, 38.77774788099888], [-109.26657332311892, 38.80343816242886], [-109.29953328320529, 38.82721334514843], [-109.33004667558822, 38.80153162385441]]]}",410.0,410.0,0.0,1850.0,1850.0,0.0,2023-08-14 06:37:53.977173
27,27,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/B3,"{'type': 'Polygon', 'coordinates': [[[-109.39841307480364, 38.89849115237697], [-109.36545314673847, 38.874739798126406], [-109.33493968672047, 38.900395123141855], [-109.36789964331457, 38.924137926031825], [-109.39841307480364, 38.89849115237697]]]}",547.0,547.0,0.0,1961.0,1961.0,0.0,2023-08-14 13:24:55.608102
28,28,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/B4,"{'type': 'Polygon', 'coordinates': [[[-109.36545314673847, 38.874739798126406], [-109.33249317493319, 38.850980576415786], [-109.30197980774773, 38.87664443649926], [-109.33493968672047, 38.900395123141855], [-109.36545314673847, 38.874739798126406]]]}",543.0,543.0,0.0,1961.0,1961.0,0.0,2023-08-14 21:47:31.814374
29,29,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/B5,"{'type': 'Polygon', 'coordinates': [[[-109.33249317493319, 38.850980576415786], [-109.29953328320529, 38.82721334514843], [-109.26901985795868, 38.852885770670355], [-109.30197980774773, 38.87664443649926], [-109.33249317493319, 38.850980576415786]]]}",498.0,498.0,0.0,1923.0,1923.0,0.0,2023-08-15 04:28:20.952440
30,30,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/B6,"{'type': 'Polygon', 'coordinates': [[[-109.29953328320529, 38.82721334514843], [-109.26657332311892, 38.80343816242886], [-109.23605996120031, 38.829119214012664], [-109.26901985795868, 38.852885770670355], [-109.29953328320529, 38.82721334514843]]]}",473.0,473.0,0.0,1902.0,1902.0,0.0,2023-08-15 12:31:30.086840
31,31,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/A3,"{'type': 'Polygon', 'coordinates': [[[-109.36789964331457, 38.924137926031825], [-109.33493968672047, 38.900395123141855], [-109.30442625414676, 38.92604117962929], [-109.33738621093673, 38.949775349930455], [-109.36789964331457, 38.924137926031825]]]}",554.0,554.0,0.0,1970.0,1970.0,0.0,2023-08-15 22:48:27.134017
32,32,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/A4,"{'type': 'Polygon', 'coordinates': [[[-109.33493968672047, 38.900395123141855], [-109.30197980774773, 38.87664443649926], [-109.27146631484291, 38.902299063660024], [-109.30442625414676, 38.92604117962929], [-109.33493968672047, 38.900395123141855]]]}",545.0,545.0,0.0,1965.0,1965.0,0.0,2023-08-16 07:05:51.536245
33,33,projects/rangelands-explo-1571664594580/assets/Ranches/HLD/A5,"{'type': 'Polygon', 'coordinates': [[[-109.30197980774773, 38.87664443649926], [-109.26901985795868, 38.852885770670355], [-109.23850642611161, 38.8785490290905], [-109.27146631484291, 38.902299063660024], [-109.30197980774773, 38.87664443649926]]]}",494.0,494.0,0.0,1920.0,1920.0,0.0,2023-08-16 18:24:03.331726
